AAS,100,3.22,"Paik, Angela N",,24,0.375
AAS,100,3.24,"Kang, Yoonjung",,25,0.2
AAS,100,3.39,"Paik, Angela N",,31,0.483870968
AAS,100,3.12,"Paik, Angela N",,24,0.25
AAS,215,3.25,"Cacho, Lisa M",,25,0.32
AAS,258,3.46,"Rana, Junaid",,21,0.428571429
ABE,141,3.75,"Bhalerao, Kaustubh",,51,0.490196078
ABE,225,3.21,"Zhang, Yuanhui",,30,0.2
ABE,226,3.18,"Singh, Vijay",,31,0.387096774
ABE,425,3.81,"Grift, Tony E",,31,0.741935484
ABE,469,3.72,"Zahos, Stephen C",,46,0.434782609
ABE,598,3.81,"Chowdhary, Girish",,26,0.615384615
ACCY,200,3.12,"Silhan, Peter A",,120,0.283333333
ACCY,200,3.8,"Zhang, Li",,35,0.742857143
ACCY,201,3.01,"Sylvestri, Ross J",,42,0.261904762
ACCY,201,3.19,"Sylvestri, Ross J",,45,0.311111111
ACCY,201,3.33,"Leman, Grant W",,44,0.477272727
ACCY,201,2.95,"Hennessy, Thomas J",,42,0.261904762
ACCY,201,2.66,"Hennessy, Thomas J",,46,0.195652174
ACCY,201,3.55,"Leman, Grant W",,47,0.489361702
ACCY,202,3.02,"Wu, Tony Y",,28,0.285714286
ACCY,202,3.19,"Wu, Tony Y",,29,0.275862069
ACCY,202,3.16,"McDermott, John P",,29,0.206896552
ACCY,202,3.15,"Christiansen, Ryan S",,30,0.3
ACCY,202,3.18,"Ye, Yina",,28,0.285714286
ACCY,202,3.38,"McDermott, John P",,33,0.454545455
ACCY,202,3.05,"Ye, Yina",,31,0.290322581
ACCY,202,2.92,"Christiansen, Ryan S",,29,0.275862069
ACCY,202,2.98,"Arends, Alyssa M",,29,0.137931034
ACCY,202,2.85,"Ducker, Merik R",,29,0.103448276
ACCY,202,3.16,"Balkan, Alexander C",,32,0.3125
ACCY,202,3.28,"Balkan, Alexander C",,27,0.296296296
ACCY,202,3.12,"Arends, Alyssa M",,28,0.25
ACCY,202,3,"Ducker, Merik R",,30,0.233333333
ACCY,301,2.96,"Davis, Gregory L",,23,0.304347826
ACCY,301,3.43,"Davis, Gregory L",,35,0.485714286
ACCY,301,3.34,"Davis, Gregory L",,29,0.448275862
ACCY,301,3.24,"Mendoza, Kimberly",,32,0.28125
ACCY,301,3.39,"Mendoza, Kimberly",,31,0.451612903
ACCY,301,3.3,"Mendoza, Kimberly",,32,0.1875
ACCY,302,3.27,"Fanning, Kirsten B",,25,0.2
ACCY,302,3.23,"Fanning, Kirsten B",,22,0.090909091
ACCY,302,3.35,"Finnegan, Thomas",,26,0.153846154
ACCY,302,3.36,"Shin, Jae Yong",,25,0.24
ACCY,302,3.27,"Finnegan, Thomas",,27,0.037037037
ACCY,302,3.26,"Fanning, Kirsten B",,26,0.076923077
ACCY,302,3.21,"Shin, Jae Yong",,22,0.136363636
ACCY,303,3.18,"Godsell, David",,30,0.4
ACCY,303,3.06,"Schwartz, Rachel",,27,0.259259259
ACCY,303,2.54,"Godsell, David",,27,0.111111111
ACCY,303,3.28,"Godsell, David",,28,0.428571429
ACCY,303,3.41,"Schwartz, Rachel",,30,0.333333333
ACCY,303,3.52,"Schwartz, Rachel",,27,0.481481481
ACCY,304,3.32,"Li, Wei",,34,0.058823529
ACCY,304,3.52,"Wu, Martin G",,35,0.428571429
ACCY,304,3.4,"Wu, Martin G",,35,0.257142857
ACCY,304,3.37,"Hayne, Christie",,33,0.272727273
ACCY,304,3.26,"Hayne, Christie",,34,0.147058824
ACCY,312,3.1,"Hutchens, Michelle L",,24,0.166666667
ACCY,312,3.39,"Hutchens, Michelle L",,22,0.181818182
ACCY,312,3.28,"Holder, Daniel E",,25,0.4
ACCY,312,3.28,"Hutchens, Michelle L",,24,0.125
ACCY,312,3.36,"Holder, Charles B",,25,0.56
ACCY,312,3.48,"Holder, Daniel E",,25,0.56
ACCY,312,3.2,"Holder, Charles B",,23,0.608695652
ACCY,398,3.96,"Nekrasz, Frank",,102,0.970588235
ACCY,405,3.24,"Thompson, Anne M",,29,0.068965517
ACCY,405,3.44,"Thompson, Anne M",,33,0.151515152
ACCY,405,3.3,"Thompson, Anne M",,34,0.117647059
ACCY,410,2.99,"Chen, Ciao-Wei",,33,0.181818182
ACCY,410,3.34,"Urcan, Oktay",,35,0.228571429
ACCY,410,3.4,"Chen, Ciao-Wei",,35,0.428571429
ACCY,410,3.29,"Chen, Ciao-Wei",,33,0.363636364
ACCY,410,2.92,"Kustanovich, Michael",,25,0.12
ACCY,410,3.67,"Kustanovich, Michael",,34,0.5
ACCY,410,3.4,"Urcan, Oktay",,34,0.352941176
ACCY,415,3.44,"Pesch, Heather L",,22,0.409090909
ACCY,415,2.91,"Pesch, Heather L",,26,0.269230769
ACCY,415,2.62,"Chatterton, Angel",,26,0.076923077
ACCY,415,3,"Chatterton, Angel",,25,0.08
ACCY,415,3.64,"Pesch, Heather L",,23,0.782608696
ACCY,451,3.31,"Hutchens, Matthew",,36,0.25
ACCY,451,3.52,"Hutchens, Matthew",,42,0.380952381
ACCY,451,3.3,"Hutchens, Matthew",,44,0.272727273
ACCY,500,3.73,"Urcan, Oktay",,377,0.50397878
ACCY,500,3.06,"Urcan, Oktay",,51,0.392156863
ACCY,502,3.62,"Hepp, John",,23,0.391304348
ACCY,502,3.75,"Hepp, John",,23,0.434782609
ACCY,503,3.72,"Hecht, Gary W",,60,0.516666667
ACCY,503,3.63,"Hecht, Gary W",,58,0.5
ACCY,503,3.65,"Williamson, Michael",,41,0.365853659
ACCY,506,3.15,"Ahmed, Waqar",,32,0.25
ACCY,506,3.14,"Ahmed, Waqar",,32,0.15625
ACCY,506,2.75,"Ahmed, Waqar",,29,0.034482759
ACCY,510,3.62,"Steward, Cynthia G",,26,0.615384615
ACCY,510,3.47,"Steward, Cynthia G",,27,0.444444444
ACCY,510,3.44,"Hepp, John",,26,0.230769231
ACCY,510,3.49,"Hepp, John",,26,0.230769231
ACCY,511,3.63,"Abdel-Khalik, Ahmed R",,25,0.24
ACCY,512,3.62,"Chen, Xiaoling",,30,0.366666667
ACCY,515,3.46,"Williams, Devin J",,36,0.138888889
ACCY,515,3.37,"Williams, Devin J",,33,0.272727273
